origin,destination,dayhour,value
Metro_AlAziziyah,Metro_AlSadd,7,2
Metro_AlAziziyah,Metro_AlSadd,8,20
Metro_AlAziziyah,Metro_AlSadd,9,42
Metro_AlAziziyah,Metro_AlSadd,10,120
Metro_AlAziziyah,Metro_AlSadd,11,108
Metro_AlAziziyah,Metro_AlSadd,12,111
Metro_AlAziziyah,Metro_AlSadd,13,161
Metro_AlAziziyah,Metro_AlSadd,14,129
Metro_AlAziziyah,Metro_AlSadd,15,54
Metro_AlAziziyah,Metro_AlSadd,16,38
Metro_AlAziziyah,Metro_AlSadd,17,34
Metro_AlAziziyah,Metro_AlSadd,18,22
Metro_AlAziziyah,Metro_AlSadd,19,18
Metro_AlAziziyah,Metro_AlSadd,20,12
Metro_AlAziziyah,Metro_AlSadd,21,18
Metro_AlAziziyah,Metro_AlSadd,22,11
Metro_AlAziziyah,Metro_AlSadd,23,60
Metro_AlAziziyah,Metro_AlShaqab,0,1
Metro_AlAziziyah,Metro_AlShaqab,1,3
Metro_AlAziziyah,Metro_AlShaqab,8,1
Metro_AlAziziyah,Metro_AlShaqab,10,1
Metro_AlAziziyah,Metro_AlShaqab,11,4
Metro_AlAziziyah,Metro_AlShaqab,12,15
Metro_AlAziziyah,Metro_AlShaqab,13,18
Metro_AlAziziyah,Metro_AlShaqab,14,7
Metro_AlAziziyah,Metro_AlShaqab,15,2
Metro_AlAziziyah,Metro_AlShaqab,16,1
Metro_AlAziziyah,Metro_AlShaqab,17,5
Metro_AlAziziyah,Metro_AlShaqab,20,2
Metro_AlAziziyah,Metro_AlSudan,0,34
Metro_AlAziziyah,Metro_AlSudan,1,96
Metro_AlAziziyah,Metro_AlSudan,2,85
Metro_AlAziziyah,Metro_AlSudan,3,31
Metro_AlAziziyah,Metro_AlSudan,6,2
Metro_AlAziziyah,Metro_AlSudan,7,7
Metro_AlAziziyah,Metro_AlSudan,8,25
Metro_AlAziziyah,Metro_AlSudan,9,50
Metro_AlAziziyah,Metro_AlSudan,10,72
Metro_AlAziziyah,Metro_AlSudan,11,117
Metro_AlAziziyah,Metro_AlSudan,12,165
Metro_AlAziziyah,Metro_AlSudan,13,128
Metro_AlAziziyah,Metro_AlSudan,14,109
Metro_AlAziziyah,Metro_AlSudan,15,63
Metro_AlAziziyah,Metro_AlSudan,16,44
Metro_AlAziziyah,Metro_AlSudan,17,20
Metro_AlAziziyah,Metro_AlSudan,18,25
Metro_AlAziziyah,Metro_AlSudan,19,8
Metro_AlAziziyah,Metro_AlSudan,20,12
Metro_AlAziziyah,Metro_AlSudan,21,3
Metro_AlAziziyah,Metro_AlSudan,22,14
Metro_AlAziziyah,Metro_AlSudan,23,69
Metro_AlAziziyah,Metro_AlWaabQLM,0,7
Metro_AlAziziyah,Metro_AlWaabQLM,1,19
Metro_AlAziziyah,Metro_AlWaabQLM,3,6
Metro_AlAziziyah,Metro_AlWaabQLM,6,1
Metro_AlAziziyah,Metro_AlWaabQLM,9,2
Metro_AlAziziyah,Metro_AlWaabQLM,10,4
Metro_AlAziziyah,Metro_AlWaabQLM,11,17
Metro_AlAziziyah,Metro_AlWaabQLM,12,7
Metro_AlAziziyah,Metro_AlWaabQLM,13,11
Metro_AlAziziyah,Metro_AlWaabQLM,14,11
Metro_AlAziziyah,Metro_AlWaabQLM,15,5
Metro_AlAziziyah,Metro_AlWaabQLM,16,2
Metro_AlAziziyah,Metro_AlWaabQLM,17,3
Metro_AlAziziyah,Metro_AlWaabQLM,19,1
Metro_AlAziziyah,Metro_AlWaabQLM,21,1
Metro_AlAziziyah,Metro_AlWaabQLM,23,77
Metro_AlAziziyah,Metro_AlWakra,0,247
Metro_AlAziziyah,Metro_AlWakra,1,358
Metro_AlAziziyah,Metro_AlWakra,2,232
Metro_AlAziziyah,Metro_AlWakra,3,28
Metro_AlAziziyah,Metro_AlWakra,4,3
Metro_AlAziziyah,Metro_AlWakra,6,15
Metro_AlAziziyah,Metro_AlWakra,7,34
Metro_AlAziziyah,Metro_AlWakra,8,83
Metro_AlAziziyah,Metro_AlWakra,9,154
Metro_AlAziziyah,Metro_AlWakra,10,322
Metro_AlAziziyah,Metro_AlWakra,11,374
Metro_AlAziziyah,Metro_AlWakra,12,533
Metro_AlAziziyah,Metro_AlWakra,13,662
Metro_AlAziziyah,Metro_AlWakra,14,705
Metro_AlAziziyah,Metro_AlWakra,15,667
Metro_AlAziziyah,Metro_AlWakra,16,350
Metro_AlAziziyah,Metro_AlWakra,17,196
Metro_AlAziziyah,Metro_AlWakra,18,179
Metro_AlAziziyah,Metro_AlWakra,19,147
Metro_AlAziziyah,Metro_AlWakra,20,140
Metro_AlAziziyah,Metro_AlWakra,21,117
Metro_AlAziziyah,Metro_AlWakra,22,88
Metro_AlAziziyah,Metro_AlWakra,23,6
Metro_AlAziziyah,Metro_BinMahmoud,0,81
Metro_AlAziziyah,Metro_BinMahmoud,1,111
Metro_AlAziziyah,Metro_BinMahmoud,2,35
Metro_AlAziziyah,Metro_BinMahmoud,3,15
Metro_AlAziziyah,Metro_BinMahmoud,6,11
Metro_AlAziziyah,Metro_BinMahmoud,7,21
Metro_AlAziziyah,Metro_BinMahmoud,8,47
Metro_AlAziziyah,Metro_BinMahmoud,9,93
Metro_AlAziziyah,Metro_BinMahmoud,10,228
Metro_AlAziziyah,Metro_BinMahmoud,11,331
Metro_AlAziziyah,Metro_BinMahmoud,12,303
Metro_AlAziziyah,Metro_BinMahmoud,13,243
Metro_AlAziziyah,Metro_BinMahmoud,14,230
Metro_AlAziziyah,Metro_BinMahmoud,15,144
Metro_AlAziziyah,Metro_BinMahmoud,16,63
Metro_AlAziziyah,Metro_BinMahmoud,17,55
Metro_AlAziziyah,Metro_BinMahmoud,18,20
Metro_AlAziziyah,Metro_BinMahmoud,19,19
Metro_AlAziziyah,Metro_BinMahmoud,20,23
Metro_AlAziziyah,Metro_BinMahmoud,21,21
Metro_AlAziziyah,Metro_BinMahmoud,22,29
Metro_AlAziziyah,Metro_BinMahmoud,23,563
Metro_AlAziziyah,Metro_Corniche,0,251
Metro_AlAziziyah,Metro_Corniche,1,398
Metro_AlAziziyah,Metro_Corniche,2,74
Metro_AlAziziyah,Metro_Corniche,3,1
Metro_AlAziziyah,Metro_Corniche,6,1
Metro_AlAziziyah,Metro_Corniche,7,4
Metro_AlAziziyah,Metro_Corniche,8,1
Metro_AlAziziyah,Metro_Corniche,9,8
Metro_AlAziziyah,Metro_Corniche,10,57
Metro_AlAziziyah,Metro_Corniche,11,260
Metro_AlAziziyah,Metro_Corniche,12,439
Metro_AlAziziyah,Metro_Corniche,13,706
Metro_AlAziziyah,Metro_Corniche,14,769
Metro_AlAziziyah,Metro_Corniche,15,707
Metro_AlAziziyah,Metro_Corniche,16,483
Metro_AlAziziyah,Metro_Corniche,17,349
Metro_AlAziziyah,Metro_Corniche,18,209
Metro_AlAziziyah,Metro_Corniche,19,160
Metro_AlAziziyah,Metro_Corniche,20,167
Metro_AlAziziyah,Metro_Corniche,21,147
Metro_AlAziziyah,Metro_Corniche,22,210
Metro_AlAziziyah,Metro_Corniche,23,50
Metro_AlAziziyah,Metro_DECC,0,53
Metro_AlAziziyah,Metro_DECC,1,62
Metro_AlAziziyah,Metro_DECC,2,35
Metro_AlAziziyah,Metro_DECC,3,15
Metro_AlAziziyah,Metro_DECC,6,9
Metro_AlAziziyah,Metro_DECC,7,21
Metro_AlAziziyah,Metro_DECC,8,51
Metro_AlAziziyah,Metro_DECC,9,74
Metro_AlAziziyah,Metro_DECC,10,93
Metro_AlAziziyah,Metro_DECC,11,144
Metro_AlAziziyah,Metro_DECC,12,195
Metro_AlAziziyah,Metro_DECC,13,231
Metro_AlAziziyah,Metro_DECC,14,220
Metro_AlAziziyah,Metro_DECC,15,159
Metro_AlAziziyah,Metro_DECC,16,125
Metro_AlAziziyah,Metro_DECC,17,56
Metro_AlAziziyah,Metro_DECC,18,51
Metro_AlAziziyah,Metro_DECC,19,38
Metro_AlAziziyah,Metro_DECC,20,36
Metro_AlAziziyah,Metro_DECC,21,23
Metro_AlAziziyah,Metro_DECC,22,79
Metro_AlAziziyah,Metro_DECC,23,7
Metro_AlAziziyah,Metro_EducationCity,0,10
Metro_AlAziziyah,Metro_EducationCity,1,11
Metro_AlAziziyah,Metro_EducationCity,2,4
Metro_AlAziziyah,Metro_EducationCity,3,2
Metro_AlAziziyah,Metro_EducationCity,7,1
Metro_AlAziziyah,Metro_EducationCity,9,10
Metro_AlAziziyah,Metro_EducationCity,10,40
Metro_AlAziziyah,Metro_EducationCity,11,84
Metro_AlAziziyah,Metro_EducationCity,12,78
Metro_AlAziziyah,Metro_EducationCity,13,90
Metro_AlAziziyah,Metro_EducationCity,14,155
Metro_AlAziziyah,Metro_EducationCity,15,344
Metro_AlAziziyah,Metro_EducationCity,16,92
Metro_AlAziziyah,Metro_EducationCity,17,32
Metro_AlAziziyah,Metro_EducationCity,18,1
Metro_AlAziziyah,Metro_EducationCity,21,1
Metro_AlAziziyah,Metro_FreeZone,0,18
Metro_AlAziziyah,Metro_FreeZone,1,34
Metro_AlAziziyah,Metro_FreeZone,2,20
Metro_AlAziziyah,Metro_FreeZone,3,7
Metro_AlAziziyah,Metro_FreeZone,6,3
Metro_AlAziziyah,Metro_FreeZone,7,5
Metro_AlAziziyah,Metro_FreeZone,8,20
Metro_AlAziziyah,Metro_FreeZone,9,31
Metro_AlAziziyah,Metro_FreeZone,10,16
Metro_AlAziziyah,Metro_FreeZone,11,34
Metro_AlAziziyah,Metro_FreeZone,12,92
Metro_AlAziziyah,Metro_FreeZone,13,38
Metro_AlAziziyah,Metro_FreeZone,14,68
Metro_AlAziziyah,Metro_FreeZone,15,35
Metro_AlAziziyah,Metro_FreeZone,16,34
Metro_AlAziziyah,Metro_FreeZone,17,18
Metro_AlAziziyah,Metro_FreeZone,18,30
Metro_AlAziziyah,Metro_FreeZone,19,5
Metro_AlAziziyah,Metro_FreeZone,20,17
Metro_AlAziziyah,Metro_FreeZone,21,5
Metro_AlAziziyah,Metro_FreeZone,22,34
Metro_AlAziziyah,Metro_FreeZone,23,3
Metro_AlAziziyah,Metro_HamadHospital,2,4
Metro_AlAziziyah,Metro_HamadIntlAirportT1,1,4
Metro_AlAziziyah,Metro_HamadIntlAirportT1,2,7
Metro_AlAziziyah,Metro_HamadIntlAirportT1,3,4
Metro_AlAziziyah,Metro_HamadIntlAirportT1,6,5
Metro_AlAziziyah,Metro_HamadIntlAirportT1,7,1
Metro_AlAziziyah,Metro_HamadIntlAirportT1,8,8
Metro_AlAziziyah,Metro_HamadIntlAirportT1,9,63
Metro_AlAziziyah,Metro_HamadIntlAirportT1,10,158
Metro_AlAziziyah,Metro_HamadIntlAirportT1,11,255
Metro_AlAziziyah,Metro_HamadIntlAirportT1,12,334
Metro_AlAziziyah,Metro_HamadIntlAirportT1,13,531
